ds,precip,SPI_1,SPI_3,SPI_6,SPI_9,SPI_12,SPI_24,station_id
2004-10-01,3.24,-0.7634167212064431,-1.9112178354376355,-0.29133111290951685,-0.05954281648780406,0.07639472844603912,-0.051505462804099435,40712
2004-11-01,50.95,1.0088645306505555,-0.05432275016134535,-1.0268208188196282,0.22199960043274836,0.21555890495890678,0.08984918236618254,40712
2004-12-01,13.46,-0.056089890090434705,0.16210408476069216,-0.8301485908109744,0.20153909105481682,0.06395303476769339,-0.04793202865923931,40712
2005-01-01,20.73,0.23526236078485588,0.4037109707469932,-0.7442956793718252,-0.2127998226914265,0.008325074420940945,0.05014634019215646,40712
2005-02-01,30.86,0.5461014613316821,0.1227151563086646,-0.26016608405147007,-1.1385241775273651,0.049343138748035364,0.09535662684523098,40712
2005-03-01,5.86,-0.5095058573223264,0.0010695001509881217,-0.1784093767433203,-1.093360612487512,-0.05733386265133078,-0.4271025271028786,40712
2005-04-01,29.56,0.5102751829453795,0.14147938791913514,0.16046251609906761,-0.877002004654081,-0.3573112142736452,-0.7547499191154075,40712
2005-05-01,40.7,0.7906699433372135,0.2837475075846183,0.033602349266626204,-0.30132341695430087,-1.0687178001478461,-0.5150087682777378,40712
2005-06-01,0.64,-1.237721528896414,0.20992819389719788,-0.1341067391184583,-0.2930832325047854,-1.104153848545609,-0.5807780631825595,40712
2005-07-01,0.21,-1.422505736763754,-0.29489960511002206,-0.428018854808762,-0.3328802329144213,-1.3353906338933255,-0.5792767834794232,40712
2005-08-01,3.61,-0.7208058915262695,-1.7611642064399675,-0.8853533787696842,-1.0188898146162078,-1.281269683365054,-0.5525435428010292,40712
2005-09-01,0.41,-1.3228519318876073,-1.7872965617118106,-0.9894680061166709,-1.2346837235224883,-1.2752979820279506,-0.5495558088367491,40712
2005-10-01,2.52,-0.8565173400198726,-1.5624352448736432,-1.6062149227914522,-1.5621854700424738,-1.2860529961584117,-0.7416133261882384,40712
2005-11-01,21.23,0.2526594427863915,-0.7314100406729165,-2.237617891618927,-1.750495638190205,-1.7556899970887978,-0.8753051619143524,40712
2005-12-01,10.91,-0.18288014854639345,-0.44840382034675463,-1.8745987243205542,-1.6502827404990708,-1.7985851638394643,-1.0052682153844517,40712
2006-01-01,34.02,0.6293844914459599,0.13965916210591742,-1.037618522566454,-1.564461554707578,-1.5798176988052814,-0.9380737947412218,40712
2006-02-01,65.75,1.2808243932757548,0.7033503497540821,-0.047860341708882946,-1.1218044937277063,-1.0543669054315208,-0.638342323939236,40712
2006-03-01,25.71,0.39791346823160245,0.8567403863029346,0.2639418734720969,-0.7312891639583667,-0.7812336701374308,-0.5594959166167275,40712
2006-04-01,68.62,1.3291363418742783,1.1750591921956355,0.948186610369456,0.15995917575248494,-0.2865149234669203,-0.457680871202992,40712
2006-05-01,26.33,0.4167001798076268,0.8081266588305911,0.9952254777957421,0.4163124505504501,-0.46260905812377,-0.9840423974262814,40712
